題號,類別,題目,解答
485,領取專利證書,到智慧局服務台繳費領證，現場可以領到專利證書嗎？,　不行。專利申請案經本局核准審定(處分)，申請人於審定書(或處分書)送達後3個月內，可以檢附申請書並繳納「證書費及第1年專利年費」後，本局會予以公告，證書並於公告後隨即以掛號郵寄方式寄發專利證書。
486,領取專利證書,專利證書於寄送過程中折到了，是否可補發一張新的？,請民眾將證書寄回來，本局將個案認定是否可以補發，若有補發新證書給民眾，證書上會註記為「補發」。
487,領取專利證書,兩位專利權人可以各自擁有一份專利權證書正本嗎？,不可以。專利證書為表彰專利權存在之證明，每一核准之專利案於繳納證書費及專利年費後，自公告之日給予專利權，一個專利權僅核發1張專利證書。
488,領取專利證書,如何申請補(換)發證書？舊證書是否要繳回？,"檢附「專利證書補（換）發申請書」並繳納規費600元提出申請即可，大約需1個月。申請書請至本局局網首頁→專利→進入專利主題網→申請專利→申請表格→專利申請表格暨申請須知下載「專利證書補（換）發申請書」。
申請補(換)發證書時，無須繳回舊證書。"
489,領取專利證書,可以寫信給智慧局，列出名下所有專利，請智慧局蓋章證明嗎？,本局並無此種蓋章證明之方式，但會就來文內容予以函復。
490,電子專利證書,推行電子專利證書的目標為何？,積極利用數位科技提供服務為我國智慧政府重要發展目標，為達成以數位科技提供服務，智慧局推動實施專利電子證書，此亦有助擴大節能減碳效益。
491,電子專利證書,何時開放申請核發電子專利證書？,自民國 112 年 1 月 1 日起開放申請。
492,電子專利證書,電子專利證書實施以後，是不是沒有紙本專利證書？,考量專利權人或仍有使用紙本證書的習慣，電子專利證書制度實施初期，仍會提供申請人選擇，申請核發電子形式或紙本形式的專利證書。
493,電子專利證書,選擇電子專利證書有什麼優點？,電子專利證書具「優化管理、存取便利、即時查驗」優點，不必擔心遺失或保管的問題。對於「第三方」而言，電子專利證書有智慧局的專屬數位簽章，不易偽造，查驗證書也更加方便。
494,電子專利證書,電子專利證書格式跟紙本專利證書有不一樣嗎？,不論電子專利證書或紙本專利證書，格式及文字都跟現行專利證書相同。
495,電子專利證書,電子專利證書與紙本專利證書效力是一樣嗎？,是。專利證書具備唯一性，每件專利權只有一份專利證書，申請人可選擇核發紙本或電子專利證書，不論核發的為何種形式，該證書即為正本，二者效力均相同。
496,電子專利證書,領取電子形式與紙本形式的專利證書規費有不一樣嗎？,不論電子專利證書或紙本專利證書，證書費的規費都是新臺幣一千元。
497,電子專利證書,是否只有 e 網通會員才可以選擇領取電子專利證書？,為擴大節能減碳效益，加強推廣使用電子專利證書，所以開放受理申請人都可以選擇領取電子專利證書，不限於e網通電子申請會員。
498,電子專利證書,如何申請電子專利證書？,申請人在辦理專利案核准後領證、專利證書補換發、專利權讓與、繼承、信託登記等申請時，得在申請書上的證書形式欄位選填電子證書。惟電子證書或紙本證書形式僅能擇一選填，智慧局將依申請人所選填的形式核發證書。
499,電子專利證書,如何下載電子專利證書？,"為讓申請人方便下載，智慧局提供下列領取管道：
(1)E-SET 下載方式：e 網通會員且已約定電子送達者，可以到 E- SET 登入卡片或軟體憑證，於清單點選「電子公文」簽收下載發證函及專利證書 PDF 檔。
(2)特定網址下載方式：非 e 網通會員或未約定電子送達的 e 網通會員，可以到特定網址下載證書。特定網址及下載資料將隨發證函寄送申請人，申請人依據附件上記載的網址及下載碼，即可於期限內在特定網頁下載單一案件的電子專利證書，不需使用 e 網通會員帳號及憑證，亦無需特定的軟體即可讀取。"
500,電子專利證書,電子專利證書是否有下載期限？,"電子證書下載期限，依照不同管道有不同的期限。
(1) E-SET：E-SET 電子公文須於發文日後五個工作天內簽收下載，已簽收下載之公文，在檔案保存年限到期前，屬於公文抄本之附件，即可重複查閱。
(2) 電子證書下載網址：下載期限為6個月，可重覆下載， 如果超過期限後仍有下載需求，可向智慧局提出申請，智慧局於收到申請後將協助提供下載，下載期限為1個月。"
501,電子專利證書,如何驗證電子專利證書及查詢最新權利狀態？,電子專利證書是使用智慧局憑證進行數位簽章並提供QRcode，如要驗證證書真偽及確認內容時，請到本局權證查詢系統的「電子證書」驗證網頁，上傳電子專利證書檔案，或是直接掃描 QRCode 進行驗證，使用者可快速驗證查閱該證書之有效性並取得最新權利狀態。
502,電子專利證書,電子專利證書的格式為何？有防偽機制嗎？,電子證書採用易於流通之 PDF 格式，使用 PDF 閱讀器即可開啟，且電子證書具有防偽機制設計，每張電子專利證書均會使用智慧局憑證進行數位簽章，以避免證書被竄改。
503,電子專利證書,領取電子專利證書後，嗣後如有需要紙本形式的證明時，應如何辦理？,為因應權證電子化後，對已領取電子專利證書者，後續或仍有需紙本形式的證書證明，因此，配套提供專利證書副本申請，申請人如有需要可提出申請。
504,電子專利證書,誰可以申請專利證書副本？如何申請？申請份數有限制嗎？ ,僅限已取得電子專利證書者，方可提出申請。填寫【專利證書副本申請書】，並檢附規費提出申請，每份新臺幣一千元。申請份數無限制，可依需要提出申請份數。
505,電子專利證書,專利證書副本與專利證書樣式內容都一致嗎？,專利證書副本屬證明文件性質，其與專利證書正本外觀略有差異，副本外觀是以正本為基礎額外加註文字以為區別。
506,電子專利證書,領取紙本專利證書後，申請人可再申請領取電子形式之證書副本嗎？,不可以喔！為鼓勵申請人領取電子專利證書，僅限於領取電子證書後，可以申請領取紙本形式的證書副本。
507,電子專利證書,專利權權利狀態有異動時，專利證書會跟著變動嗎？,專利證書係以核發時的法律狀態製發，除非其後因另有申請補發或換發，而有核發新的專利證書，否則不會因為申請異動登記事項而變動證書內容。
508,電子專利證書,取得專利證書後，嗣後證書記載內容如有異動，可以申請證書加註嗎？,專利證書係於取得專利權時所發給的證書，並以核發時的法律狀態製發。鑒於一般國際慣例並無在證書上加註之情形，且專利各項變更、延長專利權期間等，於核准時，核准函已載明核准事項。如有變更內容證明之需求，有核准函作為憑據。此外，本局近年已新增多項資訊查詢系統，提供即時資訊。爰自112年1月1日起取消加註作業。如仍有更動證書之需要，可申請補、換發以取得最新資訊的專利證書。
509,電子專利證書,在什麼情況下可以申請補、換發專利證書？,在領取專利證書後，如有滅失、遺失、毀損、專利證書陳舊或專利登記事項有所異動時（例如：專利權期間延長，變更發明人、創作人等），專利權人可申請補、換發專利證書。您無需將舊的證書寄回，智慧局將重新核發一份專利證書，並將原專利證書公告作廢。
510,電子專利證書,補換發專利證書可以選擇核發電子形式的嗎？,申請補、換發證書時，可以在專利證書補(換)發申請書上的證書形式欄位，依需要擇一選填欲核發的形式。
511,電子專利證書,申請電子專利證書、下載證書遇到問題時，應如何尋求協助？ ,若有相關專利申請問題，可於上班時間電洽本局電子申請暨專利客服電話：(02)8176-9009。
512,專利年費,何謂專利年費？,專利年費是專利權人為了維持自己的專利權有效存在，應每年按時繳納的規費，可以一次繳納一年，也可以一次繳納數年(專利法第93條第2項)。
513,專利年費,專利年費的繳納期限為何？,第1年專利年費，應於審定書(或處分書)送達後3個月內繳納，至於第2年以後之年費，應於屆期前繳納之(專利法第93條第1項)。所謂「屆期前」，係指當年期開始前，例如：取得專利權之公告日為100年6月1日，其專利權第2年為自101年6月1日開始，則第2年年費，應於101年5月31日以前繳納，以此類推。
514,專利年費,設計專利年費可否適用專利年費減免之規定？,"設計專利亦適用專利年費減免規定，專利權人為自然人、學校或中小企業者，得依專利年費減免辦法規定，減免第1年至第6年之專利年費。減免後之金額如下：
第1年至第3年每年減免800元，減免後無須繳交專利年費；
第4年至第6年每年減免1,200元，減免後每年僅須繳交800元。"
515,專利年費,衍生設計要繳納專利年費嗎？,要。衍生設計之專利權係單獨核發專利證書，得單獨主張權利，於專利權期間應繳納專利年費。
516,專利年費,智慧局會不會通知專利權人繳納專利年費？,本局並沒有通知專利權人繳納年費的義務。但是為了避免專利權人因為忘記繳交年費而使專利權消滅，特別提供一項屬於服務性質的繳納專利年費通知便民措施，提醒專利權人應注意按時繳納年費，惟專利權人依法仍應按時自行繳納，以維持專利權有效存在。
517,專利年費,何時會收到智慧局的專利年費繳納通知書？,"本局並沒有通知專利權人繳納年費的義務。但是為了避免專利權人因為忘記繳交年費而使專利權消滅，特別提供了提醒專利權人按時繳納年費的服務性質的便民措施。本局會在專利年費應繳期限前2.5個月印送「專利年費繳納通知單」，若是專利權人超過期限仍未繳交，在6個月按比例加繳期限屆滿前2至3個月再寄送「專利年費補繳通知單」通知專利權人及其代理人（外國人只通知代理人）。
另一種通知方式是電子郵件。專利代理人、專利權人如果有意願改用這種方式通知服務（不再寄送紙本通知），可e-mail至ipo1p1@tipo.gov.tw提供自己的「ID碼(身分統一編號)、電子信箱、聯絡人姓名、聯絡電話及傳真號碼」給本局。
"
518,專利年費,專利年費繳納通知可以用e-mail方式通知嗎？如何申請？,專利代理人、專利權人如果有意願用這種e-mail方式通知服務（不再寄送紙本通知），可e-mail至ipo1p1@tipo.gov.tw提供自己的「ID碼(身分統一編號)、電子信箱、聯絡人姓名、聯絡電話及傳真號碼」給本局。
519,專利年費,沒有收到智慧局的專利年費繳納通知書，可以請求補寄嗎？,專利年費繳納通知單係由電腦批次整批列印，無法單筆列印，為了降低專利權人未於期限前繳費致專利權消滅，本局已於網路上提供即時查詢服務(本局局網首頁→專利→進入專利主題網→管理專利→專利年費→專利年費規費試算)，方便專利權人隨時查詢立即得知專利年費資訊，申請人假如沒有收到專利年費通知單，可隨時至本局網站查詢專利年費相關資訊。
520,專利年費,專利年費的繳納方式為何？,"(1) 申請人應於收到審定書(或處分書)送達後3個月內，繳納「證書費及第1年專利年費」並檢附申請書向本局申請領取專利證書。申請書可至本局局網首頁→專利→進入專利主題網→申請表單→專利申請表格暨申請須知下載「專利證書申請書」。
(2) 有延緩公告之必要者，請填寫「延緩公告申請書」一併申請，延緩期限不得逾6個月。
(3) 繳納專利費用的方式：申請人可透過本局「規費線上繳納系統」查看規費標準、繳費方式、線上繳費等，請由本局首頁→便民服務→規費繳納資訊→2.我要繳納規費，點選進入該系統。
目前提供繳費方式包括：
A. 現金：
限於本局及各服務處櫃檯繳納，不得以郵寄方式為之。
B. 以轉帳(ATM、網路ATM、網路轉帳)、電匯或至合作金庫銀行任一分行填寫「聯行存款憑條」存款繳納：
(I) 請優先使用繳費單上提供之繳費帳號繳費（限繳費期間內使用），以利本局對帳，無需將繳費明細寄至本局。
(II)直接存入合作金庫銀行（銀行代號006）古亭分行帳號0877-705-658811，戶名：【經濟部智慧財產局】者，繳費後務必將繳納之證明文件（如ATM交易明細單、網路轉帳成功資料、電匯單、聯行存款憑條收據聯）檢附於該專利證書申請書寄至本局送件，以利對帳。
C. 票據：
限即期票據(支票、匯票、銀行本票，票據上所載日期不可晚於送達本局日期)、受款人為「經濟部智慧財產局」並請記載「禁止背書轉讓」。
D. 郵政劃撥：
劃撥帳號00128177、戶名為「經濟部智慧財產局」，劃撥單通訊欄加註申請案號、繳納證書費及第○年專利年費、申請人名稱。
E. 約定帳戶扣繳：
繳款人可利用在金融機構之存款帳號，依照「約定帳戶扣繳作業須知」填妥「全國性繳費(稅)業務授權轉帳繳款申請書」寄(送)本局轉送開戶金融機構進行核印手續，經金融機構辦理完成後，即可依「約定帳戶扣繳作業須知」辦理各項規費之扣款。詳細辦理方式請至本局局網參閱「約定帳戶扣繳作業須知」(首頁→便民服務→規費繳納資訊→1.規費繳納之約定帳戶扣繳「約定帳戶扣繳作業須知」)。"
521,專利年費,專利年費繳納用支票的發票日期可以寫應繳期限的最後一天嗎？,辦理專利年費繳納事項，如以支票繳納，該支票限即期票據，亦即票據上所載日期不可晚於送達本局日期，如非為即期票據，本局會將支票退回繳款人。
522,專利年費,以網路銀行轉帳方式繳納專利年費後，要通知智慧局嗎？,轉帳後須將專利年費繳納申請書與網上列印之轉帳收據一併寄回本局，始完成專利年費繳納作業。
523,專利年費,不是用電子方式申請專利的案件，可以在線上繳納專利年費嗎？,可以。不論先前申請專利相關事項是用紙本送件或者是電子送件，申請人/代理人皆可註冊為e網通電子申請會員後，上傳憑證，於線上繳納專利權年費；其操作方式為於e網通（https://tiponet.tipo.gov.tw)登入會員後，點選「繳費」=>「線上繳納專利年費」功能，可以查詢與勾選專利年費應繳案件，無須另行檢送紙本申請書即可進行繳納專利年費，並可選擇使用「約定帳號扣繳」或「eATM」方式繳費。(如操作上有疑問，請電洽電子申請暨專利客服專線(02)8176-9009)
524,專利年費,如何利用虛擬帳號繳納專利年費？,為提供更便捷之繳費機制，本局自102年11月1日起，紙本及電子之專利年費繳納通知所附之專利年費繳納申請書(不包括加繳通知)，增加列印規費繳款書，繳款書上列有虛擬帳號提供繳納專利年費（包括繳納期限、繳費帳號、繳納金額等3項條碼）。繳款人可利用規費繳款書上之繳費帳號（限以繳款書上所列之繳納金額繳納），至合作金庫銀行國內各分行臨櫃繳納、或利用繳費虛擬帳號以匯款、網路轉帳、ATM轉帳等方式繳費，不必再將專利年費繳納申請書連同轉帳明細寄回本局，透過以上方式繳款後，即完成繳納專利年費繳費手續。本局於繳費次日對帳完成後，會寄送收據給繳款人。
525,專利年費,專利年費繳納方式為約定帳號扣款，何時會扣款？,銀行將於專利年費到期當天晚上扣款，本局將於隔日對帳開立收據。
526,專利年費,"以郵政劃撥方式繳納專利年費, 申請書需要寄回嗎？",以郵政劃撥方式繳納專利年費，如已於劃撥單通訊欄註明所欲繳納的申請案號、專利證書號數及繳納年度，由於可確認其繳納之費用為何，該申請書即可不必寄回本局。另符合中小企業減免資格者，應敘明並加蓋公司大小章。
527,專利年費,以前委託代理人代繳專利年費，現在可以改成自己繳納嗎？,"專利年費任何人都可繳納，先前雖委由代理人代繳，後續專利權人欲自己辦理繳納也可以。
申請書可至本局局網首頁→專利→申請表格→專利申請表格暨申請須知→下載「專利年費繳納申請書」。"
528,專利年費,專利年費有何減免規定？要提出申請才能減免嗎？,"(1) 專利權人為外國學校或我國、外國中小企業者，得以書面申請減收專利年費；專利權人為自然人或我國學校者，本局會逕予減收其專利年費。
減收之專利年費，每件每年金額如下：
A. 第1年至第3年：每年減收新臺幣800元。
B. 第4年至第6年：每年減收新臺幣1200元。
(2) 專利權人為自然人且無資力繳納專利年費者，得逐年以書面向本局申請免收專利年費。
(3) 2位以上專利權人中有1位不符減免資格，即無法減免，須繳全額。
"
529,專利年費,專利年費繳納通知上列出的應繳金額，是減收後的金額嗎？,自102年3月起，專利年費繳納通知上之應繳金額，係依上一次繳費是否符合減收之情形，進行本年度基本應繳年費金額之通知，因此，於上一次繳費符合減收資格者，通知上所列金額即為減收後金額，若本年已不符減收資格者，請全額繳納。
530,專利年費,專利權為二人以上共有，但只有一位共有人符合年費減免資格，可以減免專利年費嗎？,只有一位共有人符合減免資格時，無法減免專利年費，必須所有專利權人均符合減免資格時，才有專利年費減免之適用。
531,專利年費,符合專利年費減收資格的中小企業如何認定？,"依據「中小企業認定標準」第2條所稱中小企業，指依法辦理公司登記或商業登記，實收資本額在新臺幣一億元以下，或經常僱用員工數未滿二百人之事業。（109年6月24日中小企業認定標準修正公布）。
"
532,專利年費,外國專利權人為中小企業，也可以減收專利年費嗎？,可以。只要符合中小企業認定標準第2條規定之標準，均得以書面申請減收。也就是若為實收資本額在新臺幣一億元以下，或經常僱用員工數未滿二百人之事業，即符合可申請減免年費之資格。（109年6月24日中小企業認定標準修正公布）
533,專利年費,領證或年費繳納申請書上，若有勾選中小企業或自然人資格，申請書上要蓋公司大小章或私章嗎？,所有書面提出之申請書，依專利法施行細則第2條之規定，均須簽名或蓋章，申請人為公司者，須蓋公司大章，其代表人可蓋小章或簽名。
534,專利年費,符合專利年費減收資格的國外學校如何認定？,依教育部編印之「國外大專院校參考名冊」為參考依據。必要時，本局仍得請專利權人檢附相關證明文件。
535,專利年費,財團法人OO大學、OO基金會，符合專利年費減收資格嗎？,財團法人OO大學可以申請減免，至於OO基金會並非專利年費減免辦法第3條及第6條所指之學校、自然人或中小企業，故不得減免專利年費。
536,專利年費,低收入戶如何辦理免繳專利年費？,"專利年費減免辦法第6條規定，專利權人為自然人且無資力繳納專利年費者，得逐年以書面向本局申請免收專利年費。申請免收專利年費者，應檢附戶籍所在地之鄉（鎮、市、區）公所或政府相關主管機關出具之低收入戶證明文件，並應於下列各款規定之期間內為之：
(1)第1年之專利年費，應於核准審定書或處分書送達後3個月內。
(2)第2年以後之專利年費，應於繳納專利年費之期間內或期滿6個月內。"
537,專利年費,在繳納次年度專利年費時，符合年費減免資格，惟繳納年費後喪失該資格，是否須補繳年費差額？,繳交當年度專利年費時，本局以繳納當時之資格認定減免條件，繳納後始喪失資格時毋須補繳。
538,專利年費,何謂預繳專利年費，最長一次可以預繳幾年？,繳納專利年費得逐年為之，亦得一次繳納數年，嗣後專利年費如有調升時，無須補繳其差額。專利年費如為調降時，溢繳之專利年費將予退還。預繳專利年費，最長可以預繳至專利期滿之日。
539,專利年費,預繳專利年費時不符合年費減免資格，嗣後符合減免資格者，可以申請退還多繳的年費嗎？如果可以，要如何辦理？,可以。專利權人可以在取得年費減免資格的次年起，來文並檢還繳費收據，就尚未到期之專利年費申請減免，並退還其差額。
540,專利年費,預繳專利年費時符合年費減免資格，嗣後喪失減免資格者，需要補繳差額嗎？,要。應從次一年起補繳差額。
541,專利年費,舉發審定成立後，行政救濟期間是否要繼續繳交年費？,專利年費繳交與否係由專利權人決定，在舉發審定成立後，到行政救濟程序確定前，當事人應留意行政救濟成功後專利權之存在狀態，避免專利權因未依限繳費發生當然消滅之情事。
542,專利年費,專利權被撤銷時，已預繳的專利年費可以請求退還嗎？,可以。 (專利規費收費辦法第10條第3項)。
543,專利年費,多繳的專利年費想申請退費或抵繳次年年費時，要如何辦理？,"專利年費如有溢繳或多繳之情事者，可以下列2種方式為之：
(1) 可自行來信說明有溢繳或多繳年費之情事並檢附原繳納之收據正本申請退費。
(2) 可於次年辦理年費繳費時，於年費繳納申請書上說明將溢繳或多繳之差額扣抵年費即可。"
544,專利年費,超過繳納專利年費的期間尚未繳費，法律效果為何？如何補救？,"第1年專利年費與證書費應於核准審定書或處分書送達之次日起3個月內繳納；屆期未繳費者，不予公告。惟申請人非因故意，致未於審定或處分書送達後3個月內繳費者，得於繳費期限屆滿後6個月內，繳納證書費及2倍之第1年專利年費辦理領證。
第2年以後之專利年費，未於應繳納之期間內繳費者，得於期滿後6個月內補繳之。但其專利年費之繳納，除原應繳納之專利年費外，依逾越應繳納專利年費之期間，按月加繳，每逾1個月加繳20%，最高加繳至依規定之專利年費加倍之數額；其逾繳期間在1日以上1個月以內者，以1個月論。
(1) 逾期1日以上1個月以內：加繳20%。
(2) 逾期1個月至2個月以內：加繳40%。
(3) 逾期2個月至3個月以內：加繳60%。
(4) 逾期3個月至4個月以內：加繳80%。
(5) 逾期4個月至6個月以內：加繳100%。
若仍然沒有在補繳期限屆滿前繳納，專利權從原繳費期限屆滿後消滅。但若專利權人有非因故意，致未能於專利年費繳納期限屆滿後6個月內補繳者，得於補繳期限屆滿後1年內，申請回復專利權，並繳納3倍之專利年費後，由本局公告之。"
545,專利年費,專利年費加繳通知單內有提供虛擬帳號以便繳費嗎？,沒有。從102年1月1日起，依專利法第94條規定，年費可於到期後6個月補繳，但除原應繳納之年費外，應按月依比例加繳，由於不確定繳款人何時補繳，繳納金額無法確定，所以加繳通知單無法提供虛擬帳號繳費。
546,專利年費,一次想繳好幾年的專利年費，或者所繳金額跟專利年費繳納申請書上所列的金額不一致，可以使用虛擬帳號機制繳費嗎？,不行。為使受文者清楚知悉應繳納金額，並可於繳款後迅速完成銀行入帳、對帳、年費登記及收據寄送等作業流程，專利年費虛擬帳號的繳納金額是本局依照該專利權本年度應繳之年次並視上年度有無減收之情況所計算產生，該金額是固定的。因此，無論何種情況而導致繳款金額與專利年費繳納申請書上所列的金額不一致，請改採其他繳費方式辦理 (專利年費金額及繳費方式之資訊請至本局局網首頁→專利→進入專利主題網→管理專利→專利年費查詢)。
547,專利年費,專利年費繳納申請書上的虛擬帳號可重覆使用嗎？,不行。僅能使用一次。該虛擬帳號是搭配該專利案之繳費期限，繳費帳號、繳納金額均是專屬於該次繳納用，故不能同一案重覆，也不能使用於別件專利權案件。
548,專利年費,專利年費繳納申請書上的虛擬帳號如超過繳款期限還可使用嗎？,不行。因該虛擬帳號是與專利案之繳費期限、繳費帳號、繳納金額相搭配的，專屬於該案該次繳費之用，如果超出繳款時間請改採其他繳費方式辦理 (請至本局局網首頁→專利→進入專利主題網→管理專利→專利年費查詢)。
549,專利年費,依智慧局所寄發的專利年費繳納申請書繳交專利年費後，才發現有溢繳、短繳等情況，應如何處理？,如有溢繳之情事，可以來文並檢還繳費收據退還其差額；如有短繳本局將通知補繳，專利權人亦可自行補繳差額。
550,專利年費,同一專利權之專利年費繳納通知單，在繳款書上的虛擬帳號會不會因受信者之身分不同而有所不同？,會。本局的專利年費繳納通知係屬服務性質，原則上會同時寄給該專利之專利權人（專利權人非本國籍時，不通知專利權人，僅通知其委任之代理人）、代理人、代收人及破產管理人，為分辨由何身分繳納，上述不同種身分之通知單上各產生不同組之虛擬帳號，本局於對帳後，就依繳款人在本局所登記 之地址寄送收據。
551,專利年費,專利權人之資料，如姓名、名稱、地址或代理人等資料與本局登記資料不一致時，可以使用虛擬帳號機制繳納年費嗎？,使用虛擬帳號機制繳納年費，本局於對帳完畢後即自動將收據寄送卷存登記地址，如登記資料變更且智慧局未完成變更登記作業時，收據恐將寄送至為變更前地址，因此請繳款人於繳款前先於智慧局公開資料確認登記資料內容並申請變更，或請改採其他繳費方式辦理(專利年費金額及繳費方式之資訊可至申請書請至本局局網首頁→專利→進入專利主題網→管理專利→專利年費查詢)
552,專利年費,因天災或不可歸責於己的事由未繳年費致專利權消滅，如何補救？,專利權人如因天災或不可歸責於己之事由延誤法定繳納年費期間者，於其原因消滅後30日內得以書面敘明理由向本局申請回復原狀。但延誤法定期間已逾1年者，不在此限。申請回復原狀，應同時補行期間內應為之行為(專利法第17條)。
553,專利年費,因逾期未繳納年費致專利權消滅時，智慧局會通知專利權人嗎？,申請人逾期未繳納年費，即產生失權效果，毋待本局再為處分或通知。本局事後會就專利權依法當然消滅之事實通知當事人，該通知乃屬觀念通知，並非行政處分。
554,專利年費,倘符合專利年費減免資格，於逾期依比例補繳年費及申請復權補繳3倍年費時，是依減收後的年費計算嗎？請舉例說明？,"是的。符合減收專利年費資格者，申請回復專利權，並繳納3倍之專利年費時，應繳納之金額為依其減收後之專利年費金額3倍繳納。
例如：發明第3年專利年費依法為新臺幣2,500元，原繳費期限為101年7月10日前，專利權人未於6個月補繳期限屆滿前(即102年1月10日前)繳納第3年專利年費者，專利權自原繳費期限屆滿後消滅。專利權人得於補繳期限屆滿後1年內(即103年1月10日前)申請回復專利權。如專利權人於102年9月10日申請回復專利權時，其應繳納金額為原第3年應繳專利年費金額之3倍即新臺幣7,500元(2500*3)；若符合減收資格者，應繳納金額為依其減收後之專利年費金額之3倍即新臺幣5,100元 (2500-800)*3】。專利權人除繳納3倍之第3年專利年費外，並應注意第4年專利年費之應繳金額須按其實際繳納日計算。在本例中，第4年專利年費依法為新臺幣5,000元，原繳費期限為102年7月10日前，如專利權人於102年9月10日當日一併繳納，因已逾期2個月，故除繳納原第4年之專利年費金額外，應加繳第4年專利年費金額之40%，即應繳納新臺幣7,000元【5000+(5000*40%)】；若符合減收資格者，應繳納金額為依其減收後之專利年費金額按月加繳，即應繳納新臺幣5,320元【(5000-1200) +〔(5000-1200)*40%〕】。
"
555,專利權異動,何謂專利權讓與登記？應如何辦理？,"(1) 專利權讓與，於雙方當事人意思表示合意之日即行生效，惟欲產生對抗第三人之效力，則必須於本局完成登記，始生對抗第三人之效力。
(2) 專利申請權讓與登記之讓與人或受讓人一方為本國公司，且雙方公司代表人為同一人時，為防止雙方代表，應按公司性質依第138題方式辦理。
(3) 辦理專利權讓與登記時，應由原專利權人或受讓人備具申請規費2000元，並檢附下列文件：
A. 專利權讓與登記申請書。
B. 讓與契約、併購證明或其他讓與證明文件(如專利權歸屬之協議書、依法取得之調解、仲裁或判決文件等)。
C. 同意書：專利權之共有人將專利權全部或其應有部分讓與他人，而分別簽署於不同文件者，應檢附全體共有人之同意書；如共同簽署於同一份文件者，應認已有同意之意思，則無須另行檢送同意書。
D. 贈與稅相關證明文件：讓與原因為贈與，且讓與人為自然人者，應檢附稽徵機關核發之稅款繳清證明書、核定免稅證明書、不計入贈與總額證明書或同意移轉證明書之副本。"
556,專利權異動,衍生設計和原設計的專利權要同時辦理讓與登記嗎？,衍生設計專利權，應與其原設計專利權一併辦理專利權讓與登記。因衍生設計專利權得單獨主張，且有單獨之專利權證書，應分別檢具異動登記之申請書、證明文件及個別繳納規費。原設計專利權若已當然消滅或經撤銷確定，而其衍生設計有二以上仍存續者，數衍生設計專利權之讓與，亦應一併為之，且應分別檢具異動登記之申請書、證明文件及個別繳納規費。
557,專利權異動,如果專利權為A公司所有，讓與給B公司(或與B公司合併)，嗣後又讓與給C公司(或與C公司合併)，此時專利權應如何辦理移轉？,可以檢送讓與登記申請書、A讓與給B之契約書（或併購證明文件）及B讓與給C之契約書（或併購證明文件），繳納1次讓與規費，辦理讓與登記即可。
558,專利權異動,專利權讓與是否需要檢還專利證書更改專利權人？,102年1月1日起辦理專利權讓與登記無須檢還專利證書，本局會發新的專利證書。
559,專利權異動,專利權讓與如是自然人無償讓與（贈與），須檢附完稅證明文件，但如以1元讓與算是有償或無償？,實務上如讓與契約係以1元讓與者，本局以有償讓與方式辦理（無須檢附完稅證明文件），但本局會通報稅捐機關。
560,專利權異動,專利核准但尚未領證，申請讓與登記應使用申請權讓與申請書或專利權讓與申請書？,專利核准但尚未領證，因尚未公告取得專利權，此時如要辦理讓與，應使用申請權讓與申請書。
561,專利權異動,專利權復權期間，要同時辦理讓與，可由受讓人辦理復權嗎？,專利權復權應由專利權人為之，惟申請復權時如同時辦理讓與，只要讓與文件齊備，年費繳納人可以為受讓人，由受讓人繳納年費。
562,專利權異動,何謂專利權授權登記？應如何辦理？,專利權授權實施是指專利權人不轉讓其專利權而同意他人實施其專利，專利權之授權在雙方當事人間達成合意即發生授權之效力，但是必須向本局辦理登記，才能對抗第三人，此即專利權授權實施登記。申請專利權授權他人實施登記者，應由專利權人或被授權人備具申請書、規費，並檢附授權契約或證明文件辦理。(申請書請至本局局網首頁→專利→進入專利主題網→申請專利→申請表格→專利申請表格暨申請須知下載「專利權授權(再授權)登記申請書) 」。
563,專利權異動,何謂專屬授權？何謂非專屬授權？何謂獨家授權？,"(1) 專屬授權，指專利權人為專屬授權後，排除專利權人自己實施該專利發明及向第三人授權。
(2) 非專屬授權，指專利權人為授權後，不排除專利權人自己實施專利發明及向第三人授權。
(3) 獨家授權，指只對一人所為之授權，專利權人不得授權第三人實施，但不排除專利權人自己實施。
辦理授權登記時應載明授權種類。本局審查授權種類時，將就書面契約所載是否符合專利法所定之規定進行審查，以確定其授權種類，亦即從形式上審查契約書內容與申請書所載是否一致，如有不一致，將探求當事人之真意。例如授權登記申請書勾選「專屬授權」，「授權契約書」卻載明保留專利權人實施發明之情況，此時將發函通知申請人釋明。
申請專屬授權登記時，「授權契約書」如載明其為專屬授權，同時於契約內容中明確記載專屬被授權人同意再授權專利權人實施者，解釋上應為本人專屬授權予被授權人；專屬被授權人並同意再授權予原專利權人之意，本局將准予專屬授權登記。惟有關專屬被授權人再授權專利權人實施部分，須另案申請再授權登記，始能產生對抗第三人效力。
申請獨家授權時，依專利法之規定是屬於非專屬授權的一種。登記實務上原則上不提供可登記為「獨家授權」的選項，例外申請人要求時，可於勾選非專屬授權後加註「獨家授權」。"
564,專利權異動,專利權共有時如何授權？,依專利法第64條規定，除共有人自己實施外，非經共有人全體之同意，不得授權他人實施。
